,timestamp,message
0,2024-05-01 08:15:30,ERROR: Unable to connect to remote server
1,2024-05-01 08:20:45,WARNING: Disk space low
2,2024-05-01 08:25:12,INFO: User login successful
3,2024-05-01 08:30:05,ERROR: Database query timeout
4,2024-05-01 08:35:20,ERROR: Server overload detected
5,2024-05-01 08:40:55,WARNING: CPU temperature high
6,2024-05-01 08:45:10,INFO: File uploaded successfully
7,2024-05-01 08:50:25,ERROR: Unexpected system shutdown
8,2024-05-01 08:55:30,ERROR: Authentication failed
9,2024-05-01 09:00:45,WARNING: Network connection unstable
10,2024-05-01 09:05:12,INFO: Data backup completed
